Player,Team,Injury,Status,Est. Return
Joey Murray,TOR,Elbow,Out,Subscribers Only
Tommy Nance,MIA,Shoulder,60-Day IL,Subscribers Only
Packy Naughton,STL,Forearm,60-Day IL,Subscribers Only
Jimmy Nelson,LAD,Elbow,60-Day IL,Subscribers Only
Nick Nelson,PHI,Hamstring,Day-To-Day,Subscribers Only
Sean Newcomb,SF,Undisclosed,7-Day IL,Subscribers Only
Ljay Newsome,SF,Undisclosed,7-Day IL,Subscribers Only
Darien Nunez,SF,Elbow,60-Day IL,Subscribers Only
Jake Odorizzi,TEX,Shoulder,60-Day IL,Subscribers Only
Helcris Olivarez,COL,Shoulder,60-Day IL,Subscribers Only
Braden Olthoff,LAA,Undisclosed,60-Day IL,Subscribers Only
Robinson Ortiz,LAD,Forearm,60-Day IL,Subscribers Only
Micah Ottenbreit,PHI,Elbow,Out,Subscribers Only
Glenn Otto,TEX,Lat,60-Day IL,Subscribers Only
Connor Overton,CIN,Elbow,60-Day IL,Subscribers Only
Freddy Pacheco,DET,Elbow,60-Day IL,Subscribers Only
Chris Paddack,MIN,Elbow,60-Day IL,Subscribers Only
Andrew Painter,PHI,Elbow,60-Day IL,Subscribers Only
Trent Palmer,TOR,Elbow,60-Day IL,Subscribers Only
Inohan Paniagua,STL,Shoulder,7-Day IL,Subscribers Only
Jack Patterson,CHC,Elbow,60-Day IL,Subscribers Only
Zach Peek,BAL,Elbow,Out,Subscribers Only
Ryan Pepiot,LAD,Oblique,60-Day IL,Subscribers Only
Alex Phillips,MIN,Undisclosed,7-Day IL,Subscribers Only
Cole Phillips,ATL,Elbow,Out,Subscribers Only
Drew Pomeranz,SD,Elbow,60-Day IL,Subscribers Only
Zach Pop,TOR,Hamstring,15-Day IL,Subscribers Only
Cody Poteet,KC,Elbow,60-Day IL,Subscribers Only
Connor Prielipp,MIN,Elbow,7-Day IL,Subscribers Only
A.J. Puk,MIA,Elbow,15-Day IL,Subscribers Only
Jose Quijada,LAA,Elbow,60-Day IL,Subscribers Only
Jose Quintana,NYM,Ribs,60-Day IL,Subscribers Only
Tanner Rainey,WAS,Elbow,60-Day IL,Subscribers Only
Aldo Ramirez,WAS,Elbow,60-Day IL,Subscribers Only
Scott Randall,PIT,Undisclosed,60-Day IL,Subscribers Only
Drew Rasmussen,TB,Elbow,60-Day IL,Subscribers Only
Robbie Ray,SEA,Elbow,15-Day IL,Subscribers Only
Sean Reid-Foley,NYM,Elbow,60-Day IL,Subscribers Only
Evan Reifert,TB,Shoulder,7-Day IL,Subscribers Only
Alex Reyes,LAD,Shoulder,60-Day IL,Subscribers Only
Stephen Ridings,NYM,Lat,60-Day IL,Subscribers Only
JR Ritchie,ATL,Elbow,7-Day IL,Subscribers Only
Ethan Roberts,CHC,Elbow,60-Day IL,Subscribers Only
Joe Rock,COL,Undisclosed,7-Day IL,Subscribers Only
Kumar Rocker,TEX,Elbow,7-Day IL,Subscribers Only
Carlos Rodon,NYY,Back,15-Day IL,Subscribers Only
Wilking Rodriguez,STL,Shoulder,60-Day IL,Subscribers Only
Chris Rodriguez,LAA,Shoulder,60-Day IL,Subscribers Only
Elvin Rodriguez,TB,Elbow,7-Day IL,Subscribers Only
Luis Rodriguez,NYM,Elbow,Out,Subscribers Only
Trevor Rogers,MIA,Biceps,15-Day IL,Subscribers Only
Ryan Rolison,COL,Shoulder,60-Day IL,Subscribers Only
Trevor Rosenthal,DET,Elbow,7-Day IL,Subscribers Only
Joe Ross,SF,Elbow,60-Day IL,Subscribers Only
Drew Rucinski,OAK,Illness,15-Day IL,Subscribers Only
Hyun Jin Ryu,TOR,Elbow,60-Day IL,Subscribers Only
Erik Sabrowski,CLE,Undisclosed,60-Day IL,Subscribers Only
Casey Sadler,SEA,Shoulder,7-Day IL,Subscribers Only
Adrian Sampson,CHC,Knee,60-Day IL,Subscribers Only
Sixto Sanchez,MIA,Shoulder,7-Day IL,Subscribers Only
Franklin Sanchez,MIA,Undisclosed,7-Day IL,Subscribers Only
Reiver Sanmartin,CIN,Elbow,60-Day IL,Subscribers Only
Tony Santillan,CIN,Knee,60-Day IL,Subscribers Only
Matt Sauer,NYY,Forearm,7-Day IL,Subscribers Only
Nate Savino,ARI,Shoulder,60-Day IL,Subscribers Only
John Schreiber,BOS,Lat,15-Day IL,Subscribers Only
Jaime Schultz,TB,Thigh,7-Day IL,Subscribers Only
Noah Schultz,CWS,Forearm,Out,Subscribers Only
Adam Seminaris,MIL,Undisclosed,7-Day IL,Subscribers Only
Antonio Senzatela,COL,Elbow,15-Day IL,Subscribers Only
Luis Serna,NYY,Shoulder,Out,Subscribers Only
Ian Seymour,TB,Elbow,60-Day IL,Subscribers Only
Jun-Seok Shim,PIT,Ankle,Out,Subscribers Only
Logan Shore,SF,Undisclosed,7-Day IL,Subscribers Only
Seth Shuman,WAS,Elbow,Out,Subscribers Only
Johan Simon,TOR,Undisclosed,60-Day IL,Subscribers Only
Liam Simon,SF,Undisclosed,7-Day IL,Subscribers Only
Caleb Simpson,CLE,Oblique,7-Day IL,Subscribers Only
Landon Sims,ARI,Elbow,60-Day IL,Subscribers Only
Tarik Skubal,DET,Elbow,60-Day IL,Subscribers Only
Justin Slaten,TEX,Undisclosed,7-Day IL,Subscribers Only
Kirby Snead,OAK,Shoulder,60-Day IL,Subscribers Only
Jairo Solis,HOU,Undisclosed,7-Day IL,Subscribers Only
Noah Song,PHI,Back,15-Day IL,Subscribers Only
Jeffrey Springs,TB,Elbow,60-Day IL,Subscribers Only
Jonathan Sprinkle,HOU,Shoulder,Out,Subscribers Only
Craig Stammen,SD,Shoulder,60-Day IL,Subscribers Only
Cody Stashak,FA,Shoulder,Out,Subscribers Only
Jackson Stephens,ATL,Undisclosed,7-Day IL,Subscribers Only
Kohl Stewart,KC,Undisclosed,7-Day IL,Subscribers Only
Stephen Strasburg,WAS,Ribs,60-Day IL,Subscribers Only
Ross Stripling,SF,Back,15-Day IL,Subscribers Only
Jose Suarez,LAA,Shoulder,15-Day IL,Subscribers Only
Robert Suarez,SD,Elbow,60-Day IL,Subscribers Only
Cole Sulser,ARI,Shoulder,60-Day IL,Subscribers Only
Thomas Szapucki,SF,Side,60-Day IL,Subscribers Only
Misael Tamarez,HOU,Undisclosed,7-Day IL,Subscribers Only
Freddy Tarnok,OAK,Shoulder,60-Day IL,Subscribers Only
Dillon Tate,BAL,Forearm,15-Day IL,Subscribers Only
Emiliano Teodo,TEX,Forearm,7-Day IL,Subscribers Only
Jackson Tetreault,WAS,Shoulder,7-Day IL,Subscribers Only
Caleb Thielbar,MIN,Oblique,15-Day IL,Subscribers Only
Ricky Tiedemann,TOR,Biceps,7-Day IL,Subscribers Only
Blake Treinen,LAD,Shoulder,60-Day IL,Subscribers Only
Lou Trivino,NYY,Elbow,60-Day IL,Subscribers Only
Spencer Turnbull,DET,Neck,15-Day IL,Subscribers Only
Edwin Uceta,NYM,Ankle,15-Day IL,Subscribers Only
Duane Underwood,PIT,Forearm,Day-To-Day,Subscribers Only
Geison Urbaez,TOR,Undisclosed,7-Day IL,Subscribers Only
Julio Urias,LAD,Hamstring,15-Day IL,Subscribers Only
Abner Uribe,MIL,Knee,7-Day IL,Subscribers Only
Jose Urquidy,HOU,Shoulder,15-Day IL,Subscribers Only
Ricky Vanasco,TEX,Knee,7-Day IL,Subscribers Only
Felipe Vazquez,PIT,Personal,Out,Subscribers Only
Noel Vela,SD,Undisclosed,7-Day IL,Subscribers Only
Vince Velasquez,PIT,Elbow,15-Day IL,Subscribers Only
Norge Vera,CWS,Undisclosed,7-Day IL,Subscribers Only
Darius Vines,ATL,Undisclosed,7-Day IL,Subscribers Only
Trystan Vrieling,NYY,Elbow,60-Day IL,Subscribers Only
Art Warren,NYY,Elbow,Out,Subscribers Only
Austin Warren,LAA,Elbow,15-Day IL,Subscribers Only
Spenser Watkins,BAL,Finger,7-Day IL,Subscribers Only
Nathan Webb,PIT,Undisclosed,60-Day IL,Subscribers Only
Avery Weems,TEX,Elbow,60-Day IL,Subscribers Only
Mitch White,TOR,Shoulder,60-Day IL,Subscribers Only
Colby White,TB,Elbow,7-Day IL,Subscribers Only
Garrett Whitlock,BOS,Elbow,15-Day IL,Subscribers Only
Brad Wieck,CHC,Elbow,60-Day IL,Subscribers Only
Collin Wiles,FA,Shoulder,Out,Subscribers Only
Justin Wilson,MIL,Elbow,60-Day IL,Subscribers Only
Tommy Wilson,BAL,Undisclosed,7-Day IL,Subscribers Only
Brooks Wilson,ATL,Elbow,7-Day IL,Subscribers Only
Trey Wingenter,DET,Biceps,15-Day IL,Subscribers Only
Josh Wolf,CLE,Elbow,7-Day IL,Subscribers Only
Jake Woodford,STL,Shoulder,15-Day IL,Subscribers Only
Brandon Woodruff,MIL,Shoulder,60-Day IL,Subscribers Only
Kyle Wright,ATL,Shoulder,60-Day IL,Subscribers Only
Jeremy Wu-Yelland,BOS,Elbow,Out,Subscribers Only
Jimmy Yacabonis,NYM,Quadriceps,15-Day IL,Subscribers Only
Miguel Yajure,SF,Undisclosed,7-Day IL,Subscribers Only
Ryan Yarbrough,KC,Head,15-Day IL,Subscribers Only
Huascar Ynoa,ATL,Elbow,60-Day IL,Subscribers Only
Angel Zerpa,KC,Shoulder,60-Day IL,Subscribers Only
Calvin Ziegler,NYM,Elbow,60-Day IL,Subscribers Only
